--,Round,Add,Search,Remove
ArrayList,1,1101492,478149,696320
ArrayList(Fix),1,781839,266061,288866
LinkedList,1,962000,50722622,614221
Vector,1,592556,415055,521859
Vector(Fix),1,321934,218170,234513
Stack,1,353861,272143,244776
,,,,
ArrayList,2,244776,74497,78678
ArrayList(Fix),2,198026,75637,75637
LinkedList,2,388069,38313919,165338
Vector,2,327255,259220,356141
Vector(Fix),2,312812,226151,232234
Stack,2,341318,234134,240215
,,,,
ArrayList,3,251238,83239,80198
ArrayList(Fix),3,187763,77918,85139
LinkedList,3,224631,41084754,177500
Vector,3,332956,261880,225772
Vector(Fix),3,309771,237934,200686
Stack,3,335997,262641,203346
,,,,
ArrayList,4,275183,97303,48651
ArrayList(Fix),4,197646,96542,48271
LinkedList,4,258840,36551454,66135
Vector,4,283925,199926,203727
Vector(Fix),4,269101,194985,200686
Stack,4,270622,196505,201066
,,,,
ArrayList,5,307871,80578,108705
ArrayList(Fix),5,109845,42950,61574
LinkedList,5,208288,48405230,75258
Vector,5,268721,198026,203726
Vector(Fix),5,238315,197645,203347
Stack,5,291526,197646,203346
,,,,
ArrayList,6,186243,43330,51691
ArrayList(Fix),6,107945,41810,50171
LinkedList,6,172559,31885886,63094
Vector,6,245917,192324,197645
Vector(Fix),6,228052,192324,197646
Stack,6,246677,191944,198025
,,,,
ArrayList,7,140633,45230,61954
ArrayList(Fix),7,96542,41810,50171
LinkedList,7,173700,32065287,63474
Vector,7,295708,192324,198025
Vector(Fix),7,225392,192324,197645
Stack,7,251238,192324,201066
,,,,
ArrayList,8,178261,41810,50551
ArrayList(Fix),8,106805,42189,50172
LinkedList,8,155075,40949063,74877
Vector,8,262641,192704,198025
Vector(Fix),8,227672,191944,198025
Stack,8,247436,192324,197646
,,,,
ArrayList,9,161917,41810,50551
ArrayList(Fix),9,109465,41810,50171
LinkedList,9,160397,32021957,63094
Vector,9,259980,192324,198025
Vector(Fix),9,248197,192324,197645
Stack,9,270242,192324,197645
,,,,
ArrayList,10,163817,42190,50552
ArrayList(Fix),10,150515,41809,50172
LinkedList,10,179781,48903525,93881
Vector,10,322314,198025,203346
Vector(Fix),10,250477,197645,203347
Stack,10,271762,197645,209428
,,,,
